asylum,year,refugees
United States of America,1988,185296
United States of America,1989,211062
United States of America,1990,219358
United States of America,1991,227132
United States of America,1992,282133
United States of America,1993,360638
United States of America,1994,349657
United States of America,1995,483335
United States of America,1996,642436
United States of America,1997,649442
United States of America,1998,707461
United States of America,1999,775268
United States of America,2000,801287
United States of America,2001,819552
United States of America,2002,885119
United States of America,2003,952229
United States of America,2004,939765
United States of America,2005,921026
United States of America,2006,959575
United States of America,2007,889458
United States of America,2008,911611
United States of America,2009,854042
United States of America,2010,885417
United States of America,2011,931311
United States of America,2012,892141
United States of America,2013,960297
United States of America,2014,942974
United States of America,2015,939320
United States of America,2016,957154
United States of America,2017,947765
